prompt,completion
"E Amanhecer , o último filme de a saga , que foi divido em duas partes em o cinema , foi inspirado em O Mercador De Veneza e Sonho De Uma Noite De Verão , os dois também de Shakespeare .",
"Crepúsculo ficou 143 semanas em a lista de livros mais vendidos , e teve mais de 400 milhões de dólares em lucro só em o cinema .",
"Resumo de Crepúsculo : 2-Crepúsculo : Isabella Swan deixa sua casa em Phoenix , uma cidade ensolarada , onde mora com a mãe e seu padrasto e vai morar com o pai em Forks , uma cidade pequena e chuvosa , constantemente coberta de nuvens .",
Ela entra em a Forks High School Home Of The Spartans ( Colégio de Forks Lar De os Espartanos ) .,
Faz vários amigos .,
"Principais sitados em a história : Jéssica Stanley , Tyler Crowler , Eric Yorkie , Angela Weber e Mike Newton .",
E também conhece Edward Cullen .,
Um cara misterioso e fechado .,
", que a salvou de a van de Tyler , que perde o controle em um dia de gelo e de alguns caras bêbados que a perseguiam quando ela saia de uma livraria em Seattle .",
"A relação de os dois , em o início , não é muito amistosa .",
"Mas tarde , os dois ficam mais chegados .",
Chega um momento que nenhum de os dois aguenta esconder a paixão e se tornam namorados .,
"Certo dia Edward leva Bella para um jogo de beisebol , onde o clã de nômades , composto por Victoria , Laurent e James .",
"Os Cullen tentam esconder Bella de o outro clã , mas uma brisa espalha o cheiro humano de a jovem .",
James sente o cheiro .,
"Ele é um rastreador e quer ir atrás de Bella até a morte , por a vontade de provar de o seu sangue .",
O clã de os Cullen tentam esconde - la a todo custo .,
"Mas uma ligação de sua mãe dizendo que estava em perigo , forjada por James , a leva para um antigo estúdio de balé , onde Bella já fez aula quando criança .",
"Ela foi até lá , pensando que a mãe tinha sido sequestrada por James , que estava oferecendo a liberdade de ela por a vida de Bella .",
"Isso apenas serviu de isca para a garota , já que sua mãe não estava lá .",
"James a atacou a jovem , jogando - a contra uma coluna .",
"Edward chega para lutar contra James e salvar Bella , o que foi realizado com sucesso , depois que seus irmãos e seu "" pai "" chegam para ajudar .",
Edward mata James .,
Era QUASE tarde demais .,
"James tinha mordido Bella , e Edward teve que sugar o veneno , o que foi mito difícil pra ela , por causa de o sangue de Bella , que estava misturado com o veneno .",
E ela ainda perdeu muito sangue e quebrou alguns ossos .,
Mas em o final ela foi salva a tempo .,
"Edward disse que queria deixá - la , que seria melhor ela voltar com a mãe para Phoenix .",
"Mas a ligação entre os dois está tão forte que essa ideia é banida , por enquanto .",
"Depois de isso , Edward a leva para o baile de a escola , onde eles trocam declarações e se beijam .",
Li por acaso e gostei,
"Minha mãe tinha esse livro em a estante , em a verdade tinha esse e os dois próximos ( Lua Nova e Eclipse ) e eles ficavam lá , juntando poeira , até que um dia resolvi ler .",
"Em o início , achei meio bobo essa coisa de vampiros e tal , mas depois fui lendo o livro e me envolvendo em o romance de Bella , a humana desajeitada e Edward , o vampiro bonitão .","início
livro"
Acho muito bom e um de os melhores livros de Stephenie Meyer .,
Crepúsculo - Stephenie Meyer,
Isabella Swan chega a a nublada e chuvosa cidadezinha de Forks - último lugar onde gostaria de viver .,
"Tenta se adaptar a a vida provinciana em a qual aparentemente todos se conhecem , lidar com sua constrangedora falta de coordenação motora e se habituar a morar com um pai com quem nunca conviveu .",
Em seu destino está Edward Cullen .,
"Ele é lindo , perfeito , misterioso e , a a primeira vista , hostil a a presença de Bella - o que provoca em ela uma inquietação desconcertante .",
Ela se apaixona .,
"Ele , em o melhor estilo "" amor proibido "" , alerta : Sou um risco para você .",
Ela é uma garota incomum .,
Ele é um vampiro .,
Ela precisa aprender a controlar seu corpo quando ele a toca .,
"Ele , a controlar sua sede por o sangue de ela .",
"O que Bella não percebe é que quanto mais se aproxima de ele , maior é o perigo para si e para os que a cercam .",
E pode ser tarde demais para voltar atrás ...,
crepúsentimentos,
o que eu achei de o livro e maravilhoso e totalmemte sentimental cada palavra e situaçoês quere lemos em o livro e um história que eu ler e pude sentir tudo que estava lendo o que eu aprende com ele e que não inporta o que você er o fais se você amar tem que luta por esse amor masmo que nao valer apena em o final e algum que eu achei lindo em essa historia foi entao pouco tempo a familia cullan ja contruior aquele amor cuidadoso e amoroso coma a mocinha de a historia essa historia mim chamo atençao por ser tao parecida com a minha vida [ jessyka lwyza ],"livro
livro"
vampiros,
"Isabella Swan , mas conhecida como Bella , se muda para a cidade de Forks( Washington ) para viver com seu pai Charlie , lá ela entra em uma escola nova a onde se apaixona por Edward Cullen que em a verdade é um vampiro que está morto de sede por o sangue de Bella , e desde então ela passa a ser alvo de perseguição por três vampiros de o mal e um clã sombrio e antigo de a Itália chamado de "" VOLTURI "" .",
Péssimo !,
"Sério , sofri pra terminar o livro , o livro ainda consegue ser pior que os filmes .",livro
"A autora começou com uma história sem sentido , muito boba .",
O pior livro de a saga !,
"Muita gente diz que as pessoas que gostam de a saga provavelmente são "" garotinhas futeis que acreditam em amor eterno e sonham com Edward Cullen "" .",
"Mas , eu realmente acho essa fala uma bosta .",
"Quando eu li por a primeira vez , eu me apaixonei por tudo , eu vivia os momentos , me prendia e não conseguia parar de ler .",
"Era como se eu estivesse lá , como se eu fosse a Bella .",
"Hoje eu sei reconhecer que o livro é mal estruturado , mas mesmo assim , acho a história excelente , os personagens são bem formulados , os detalhes .","livro
história
personagens"
"Não sinto vergonha em dizer que acho a saga maravilhosa , a historia é linda , a culpa não é de o livro , mas sim de a autora , que não soube escrever o livro de uma forma coerente , deixando á desejar em algumas partes .",
Uma história de amor encantadora ...,"história
de
amor"
"Bem , o que falar de esse livro ?",
"A leitura de ele é simples , flui de maneira muito fácil , apesar de as vezes eu achar que algumas palavras muito grandes poderiam ser cortadas .","leitura
palavras
muito
grandes"
"A Bella é a típica menina tímida que consegue a atenção de o mais lindo de o colégio .. Ah , mas isso é normal , Gi !",
"Rá , não , não é .",
"O mais lindo de o colégio o nosso vamp Cullen , que brilha em o sol e é , digamos ... vegetariano , não quer ficar com a Bella para não machuca - la .",
"Se você gosta de os vampiros tradicionais , que bebem sangue humano e se transformam em morcego , não recomendo que leia essa livro .",livro
"Mas se você é mente aberta e não tem problemas com isso , bom aí deixe - se levar até a chuvosa Forks , o que pode ser uma viagem muito legal .",
Eu gosto de a Bella .,Bella
"Mesmo com sua baixa autoestima e mesmo que ela não consiga dar um passo sozinha sem cair de cara em o chão , eu gosto .",
Mas as vezes ela é ... descritiva demais .,ela
"Tudo bem , é legal para podermos imaginar o lugar ou o personagem , mas ela é descritiva demais quanto a o Edward .",
"O mundo sabe que ele é lindo , certo ?",
Então não são necessárias páginas e mais páginas de ela o descrevendo .,
"Em os últimos capítulos a ação em a história deixa tudo muito bom e mostra como a Bella pode sim ser muito inteligente , enganando o vamp Jasper .","últimos
capítulos"
"De zero a dez , minha nota para o primeiro volume de essa série é 9 , fico por aqui com essa resenha e espero que você tenha curtido !","primeiro
volume
de
essa
série"
leia essa e outras resenhas : http://jeito-inedito.blogspot.com/,
Sou fã !,
"É um livro que te prende desde o início , faz você se apaixonar por os personagens .",livro
Não adianta .,
"O enredo pode ser fraco , coisa manjada mesmo .",enredo
"Mas foi ele que me impulsionou a ler com frequência , e ter gosto por a coisa .",ele
Serei eternamente grata a a Bella e seus meninos !,
A resenha de este livro está em o meu blog ... Entra lá ..,
Crepusculo,
"Um livro que comprei a o acaso , comecei a ler e nao conseguia parar de ler , li este livro em apenas 10 dias , e fiquei muito triste em saber que haveria continuação , pois os livros aqui em o Brasil demoram muito a chegar ... Por fim , baixei as continuações e imprimi todas ... e li em poucos dias tb ... Depois comprei os livros , para deixar guardado para futuras geraçoes .... Amei a história , me identifiquei com a Bella , apesar de ela ser um pouco egoista , mais o romance em si , nossa , que lindo ... Como eu queria estar ali , em o corpo de ela , e viver tudo aquilo !","história
Bella
romance"
"Dia chuvoso , supermercado , tédio , necessidade de ler algo .",
"Eis que paro em a seção de livros , ( visto que se tratava de um supermercado , não havia muitas opções por ali ) , olhei para a capa atrativa a o lado de "" A cabana "" Dúvida !",
"Depois de alguns ( bons ) minutos , senti que não me arrependeria de levá - lo , e de fato não me arrependi .",
"Creio que não sou a unica entre milhares de leitores presentes em este site e em o mundo inteiro , que já deva ter experimentado a sensação de ser escolhido .",
"Alguns tipos de leitores têm esse fetiche , e eu sou uma de elas , de o tipo que acredita veementemente ter sido escolhida , naquele momento , acarretado por uma força incomum que faz com que AQUELE livro seja levado !",
"Digo isso porque até então não havia ouvido falar em crepusculo ( por o menos em o meu mundinho ele não era modinha ) , e o comprei .",
"Li , e em o final a o descobrir que havia continuação , sai a procura de Lua Nova , e depois Eclipse , aguardando ansiosa muitas semanas depois a estréia de o Amanhecer .",
"Não creio que seja inteligível dizer que este livro seja o pior livro de o mundo e bla bla bla ... Faço Letras , participo de reuniões de grupos literários e não falta críticas acerca de a saga .",
"Endosso o fato de que deve haver primeiramente a valorização de a autora , pois se trata de uma narrativa demasiadamente criativa ( isso é fato ) , poucos teriam a capacidade de fazê - lo de forma competente .",narrativa
"Segundo , vale lembrar ( a quem conhece a literatura insólita ) que a o penetrar em este tipo de ficção , deve - se aceitar um mundo de as possibilidades ( afinal , tudo é possivel ) .",
"Crepusculo é um livro para ser preciado , para mergulhar e aceitar toda irrealidade que o cerca .","Crepusculo
livro"
"Este é o lado bom de esse tipo de literatura , ler sem medo e nem remorsos .",
crepúsculo,
"Bem legal , foi o primeiro livro que eu li de a minha estante , foi graças a ele que me despertou o sublime desejo por a ' ' literatura estrangeira ' ' Enfim , um livro bom .","livro
livro"
Livro : Crepusculo,
Souuuuuuu muito fã de a saga .,
"Adoreei a historia de como a Bella e o Edward se conheceram ... o melhor livrooo de toda a saga kk ' li , reli varias vezes a espera de o segundo livro , e eu nuncaa vou me cansar de ele ... Bem , eu so nao gostei muito de o filme que , em a minha opinião , cortou muitas partes de o livro que pra mim eram as milhores ...",
Bella e Edward,
Eu gostei de o livro .,livro
Achei linda a história de amor de Bella e Edward .,
